Site_ID,z,area_m,volume_m3
JA-SW,1.44,715,1196.986972427369
JA-SW,1.45,715,1204.1369724273677
JA-SW,1.46,715,1211.2869724273687
JA-SW,1.47,715,1218.4369724273674
JA-SW,1.48,715,1225.5869724273684
JA-SW,1.49,715,1232.736972427367
JA-SW,1.5,715,1239.8869724273682
JA-SW,1.51,715,1247.0369724273694
JA-SW,1.52,715,1254.186972427368
JA-SW,1.53,715,1261.336972427369
JA-SW,1.54,715,1268.4869724273676
JA-SW,1.55,715,1275.6369724273686
JA-SW,1.56,715,1282.7869724273673
JA-SW,1.57,715,1289.9369724273683
JA-SW,1.58,715,1297.0869724273668
JA-SW,1.59,715,1304.236972427368
JA-SW,1.6,715,1311.386972427369
JA-SW,1.61,715,1318.5369724273678
JA-SW,1.62,715,1325.6869724273688
JA-SW,1.6300000000000001,715,1332.8369724273675
JA-SW,1.6400000000000001,715,1339.9869724273685
JA-SW,1.6500000000000001,715,1347.1369724273673
JA-SW,1.6600000000000001,715,1354.2869724273683
JA-SW,1.67,715,1361.4369724273695
JA-SW,1.68,715,1368.586972427368
JA-SW,1.69,715,1375.736972427369
JA-SW,1.7,715,1382.8869724273677
JA-SW,1.71,715,1390.0369724273687
JA-SW,1.72,715,1397.1869724273674
JA-SW,1.73,715,1404.3369724273684
JA-SW,1.74,715,1411.486972427367
JA-SW,1.75,715,1418.6369724273682
JA-SW,1.76,715,1425.7869724273694
JA-SW,1.77,715,1432.936972427368
JA-SW,1.78,715,1440.086972427369
JA-SW,1.79,715,1447.2369724273676
JA-SW,1.8,715,1454.3869724273686
JA-SW,1.81,715,1461.5369724273673
JA-SW,1.82,715,1468.6869724273683
JA-SW,1.83,715,1475.8369724273668
JA-SW,1.84,715,1482.986972427368
JA-SW,1.85,715,1490.136972427369
JA-SW,1.86,715,1497.2869724273678
JA-SW,1.87,715,1504.4369724273688
JA-SW,1.8800000000000001,715,1511.5869724273675
JA-SW,1.8900000000000001,715,1518.7369724273685
JA-SW,1.9000000000000001,715,1525.8869724273673
JA-SW,1.9100000000000001,715,1533.0369724273683
JA-SW,1.92,715,1540.1869724273695
JA-SW,1.93,715,1547.336972427368
JA-SW,1.94,715,1554.486972427369
JA-SW,1.95,715,1561.6369724273677
JA-SW,1.96,715,1568.7869724273687
JA-SW,1.97,715,1575.9369724273674
JA-SW,1.98,715,1583.0869724273684
JA-SW,1.99,715,1590.236972427367
JA-SW,2,715,1597.3869724273682
JC-SW,0,1,0
JC-SW,0.01,3,0.03816345214844219
JC-SW,0.02,6,0.17413818359374744
JC-SW,0.03,12,0.5642465209961074
JC-SW,0.04,26,1.7323389434814231
JC-SW,0.05,65,5.710666656494187
JC-SW,0.06,150,16.187673568725394
JC-SW,0.07,277,34.86657585144051
JC-SW,0.08,422,60.11399627685475
JC-SW,0.09,581,92.11596397399894
JC-SW,0.1,727,126.38806076049909
JC-SW,0.11,854,160.97987884521436
JC-SW,0.12,954,192.97477958679295
JC-SW,0.13,1030,221.8679546356191
JC-SW,0.14,1091,248.89688514709536
JC-SW,0.15,1133,272.1707717895492
JC-SW,0.16,1171,295.4973291015627
JC-SW,0.17,1198,316.2505456542989
JC-SW,0.18,1239,342.8161997985836
JC-SW,0.19,1282,371.34818847656413
JC-SW,0.2,1313,396.4047351837149
JC-SW,0.21,1344,422.38286231994744
JC-SW,0.22,1390,455.8738162994369
JC-SW,0.23,1424,485.2502474975592
JC-SW,0.24,1475,523.7265167236305
JC-SW,0.25,1529,565.2564907073975
JC-SW,0.26,1591,612.4603520965601
JC-SW,0.27,1652,661.035414733886
JC-SW,0.28,1703,705.8809622192402
JC-SW,0.29,1752,751.0900193023667
JC-SW,0.3,1803,798.9617294311536
JC-SW,0.31,1872,859.4277499389625
JC-SW,0.32,1926,912.4118731689458
JC-SW,0.33,1975,963.7518749237026
JC-SW,0.34,2022,1015.2051987457272
JC-SW,0.35000000000000003,2075,1072.257749557498
JC-SW,0.36,2124,1128.0691076660144
JC-SW,0.37,2162,1177.2058653259298
JC-SW,0.38,2223,1244.932272186277
JC-SW,0.39,2272,1305.1473561096204
JC-SW,0.4,2315,1362.0775337219206
JC-SW,0.41000000000000003,2358,1420.2744152832036
JC-SW,0.42,2418,1493.9201989746134
JC-SW,0.43,2468,1560.8454534912103
JC-SW,0.44,2504,1617.01780296326
JC-SW,0.45,2551,1684.1477252960187
JC-SW,0.46,2609,1762.7200609588645
JC-SW,0.47000000000000003,2653,1829.960760269162
JC-SW,0.48,2716,1916.6548821258557
JC-SW,0.49,2772,1998.4119198608355
JC-SW,0.5,2835,2088.81827545166
JC-SW,0.51,2885,2167.928910827641
JC-SW,0.52,2959,2273.368247680663
JC-SW,0.53,3026,2373.63035324097
JC-SW,0.54,3094,2476.985765228269
JC-SW,0.55,3160,2580.199932098391
JC-SW,0.56,3205,2661.9635818481406
JC-SW,0.5700000000000001,3272,2770.0878229522714
JC-SW,0.58,3322,2860.5293290710392
JC-SW,0.59,3361,2939.555399169921
JC-SW,0.6,3410,3031.7246437072804
JC-SW,0.61,3437,3098.61911804199
JC-SW,0.62,3463,3165.0769181823766
JC-SW,0.63,3492,3236.0835389709437
JC-SW,0.64,3516,3301.63206504822
JC-SW,0.65,3540,3367.838830947871
JC-SW,0.66,3554,3421.66427482605
JC-SW,0.67,3570,3478.565460586554
JC-SW,0.68,3575,3521.0419082641592
JC-SW,0.6900000000000001,3581,3565.040320053105
JC-SW,0.7000000000000001,3583,3603.645848846433
JC-SW,0.71,3588,3646.5540394592317
JC-SW,0.72,3589,3683.867679672237
JC-SW,0.73,3589,3719.757679672243
JC-SW,0.74,3589,3755.6476796722354
JC-SW,0.75,3589,3791.537679672241
JC-SW,0.76,3589,3827.427679672247
JC-SW,0.77,3589,3863.3176796722396
JC-SW,0.78,3589,3899.2076796722454
JC-SW,0.79,3589,3935.097679672238
JC-SW,0.8,3589,3970.9876796722438
JC-SW,0.81,3589,4006.877679672237
JC-SW,0.8200000000000001,3589,4042.767679672242
JC-SW,0.8300000000000001,3589,4078.657679672235
JC-SW,0.84,3589,4114.5476796722405
JC-SW,0.85,3589,4150.437679672246
JC-SW,0.86,3589,4186.327679672239
JC-SW,0.87,3589,4222.217679672245
JC-SW,0.88,3589,4258.107679672237
JC-SW,0.89,3589,4293.997679672243
JC-SW,0.9,3589,4329.887679672236
JC-SW,0.91,3589,4365.777679672242
JC-SW,0.92,3589,4401.667679672248
JC-SW,0.93,3589,4437.55767967224
JC-SW,0.9400000000000001,3589,4473.447679672246
JC-SW,0.9500000000000001,3589,4509.337679672239
JC-SW,0.96,3589,4545.227679672244
JC-SW,0.97,3589,4581.1176796722375
JC-SW,0.98,3589,4617.007679672242
JC-SW,0.99,3589,4652.897679672235
JC-SW,1,3589,4688.787679672241
JC-SW,1.01,3589,4724.677679672247
JC-SW,1.02,3589,4760.56767967224
JC-SW,1.03,3589,4796.457679672245
JC-SW,1.04,3589,4832.347679672238
JC-SW,1.05,3589,4868.237679672244
JC-SW,1.06,3589,4904.127679672237
JC-SW,1.07,3589,4940.017679672243
JC-SW,1.08,3589,4975.907679672235
JC-SW,1.09,3589,5011.7976796722405
JC-SW,1.1,3589,5047.687679672246
JC-SW,1.11,3589,5083.577679672239
JC-SW,1.12,3589,5119.467679672245
JC-SW,1.1300000000000001,3589,5155.357679672237
JC-SW,1.1400000000000001,3589,5191.247679672243
JC-SW,1.1500000000000001,3589,5227.137679672236
JC-SW,1.16,3589,5263.027679672242
JC-SW,1.17,3589,5298.917679672248
JC-SW,1.18,3589,5334.80767967224
JC-SW,1.19,3589,5370.697679672246
JC-SW,1.2,3589,5406.587679672239
JC-SW,1.21,3589,5442.477679672244
JC-SW,1.22,3589,5478.3676796722375
JC-SW,1.23,3589,5514.257679672242
JC-SW,1.24,3589,5550.147679672235
