Site_ID,z,area_m,volume_m3
JC-SW,0.19,1282,371.34818847656413
JC-SW,0.2,1313,396.4047351837149
JC-SW,0.21,1344,422.38286231994744
JC-SW,0.22,1390,455.8738162994369
JC-SW,0.23,1424,485.2502474975592
JC-SW,0.24,1475,523.7265167236305
JC-SW,0.25,1529,565.2564907073975
JC-SW,0.26,1591,612.4603520965601
JC-SW,0.27,1652,661.035414733886
JC-SW,0.28,1703,705.8809622192402
JC-SW,0.29,1752,751.0900193023667
JC-SW,0.3,1803,798.9617294311536
JC-SW,0.31,1872,859.4277499389625
JC-SW,0.32,1926,912.4118731689458
JC-SW,0.33,1975,963.7518749237026
JC-SW,0.34,2022,1015.2051987457272
JC-SW,0.35000000000000003,2075,1072.257749557498
JC-SW,0.36,2124,1128.0691076660144
JC-SW,0.37,2162,1177.2058653259298
JC-SW,0.38,2223,1244.932272186277
JC-SW,0.39,2272,1305.1473561096204
JC-SW,0.4,2315,1362.0775337219206
JC-SW,0.41000000000000003,2358,1420.2744152832036
JC-SW,0.42,2418,1493.9201989746134
JC-SW,0.43,2468,1560.8454534912103
JC-SW,0.44,2504,1617.01780296326
JC-SW,0.45,2551,1684.1477252960187
JC-SW,0.46,2609,1762.7200609588645
JC-SW,0.47000000000000003,2653,1829.960760269162
JC-SW,0.48,2716,1916.6548821258557
JC-SW,0.49,2772,1998.4119198608355
JC-SW,0.5,2836,2089.8158416748047
JC-SW,0.51,2888,2170.964928512578
JC-SW,0.52,2962,2276.4342653655995
JC-SW,0.53,3033,2380.9342615509067
JC-SW,0.54,3109,2492.9551309204076
JC-SW,0.55,3185,2607.2663040161156
JC-SW,0.56,3246,2707.1146905517535
JC-SW,0.5700000000000001,3335,2840.607276153565
JC-SW,0.58,3400,2949.008016586298
JC-SW,0.59,3457,3049.9616822052
JC-SW,0.6,3527,3168.1630908966113
JC-SW,0.61,3560,3243.518155670164
JC-SW,0.62,3600,3328.4815864563025
JC-SW,0.63,3633,3405.898446121212
JC-SW,0.64,3658,3474.090756530764
JC-SW,0.65,3677,3535.253544616694
JC-SW,0.66,3684,3581.2222780609136
JC-SW,0.67,3693,3630.0578160858217
JC-SW,0.68,3697,3672.4139737701407
JC-SW,0.6900000000000001,3698,3710.7555361938525
JC-SW,0.7000000000000001,3699,3749.1305912017797
JC-SW,0.71,3701,3788.9505967712435
JC-SW,0.72,3701,3825.960596771236
JC-SW,0.73,3702,3864.425921401979
JC-SW,0.74,3702,3901.4459214019716
JC-SW,0.75,3702,3938.4659214019775
JC-SW,0.76,3702,3975.4859214019834
JC-SW,0.77,3702,4012.505921401976
JC-SW,0.78,3702,4049.5259214019816
JC-SW,0.79,3702,4086.5459214019743
JC-SW,0.8,3702,4123.56592140198
JC-SW,0.81,3702,4160.585921401973
JC-SW,0.8200000000000001,3702,4197.605921401979
JC-SW,0.8300000000000001,3702,4234.625921401971
JC-SW,0.84,3702,4271.645921401977
JC-SW,0.85,3702,4308.665921401983
JC-SW,0.86,3702,4345.685921401975
JC-SW,0.87,3702,4382.705921401981
JC-SW,0.88,3702,4419.725921401974
JC-SW,0.89,3702,4456.74592140198
JC-SW,0.9,3702,4493.765921401972
JC-SW,0.91,3702,4530.785921401978
JC-SW,0.92,3702,4567.805921401984
JC-SW,0.93,3702,4604.825921401976
JC-SW,0.9400000000000001,3702,4641.845921401982
JC-SW,0.9500000000000001,3702,4678.865921401975
JC-SW,0.96,3702,4715.88592140198
JC-SW,0.97,3702,4752.9059214019735
JC-SW,0.98,3702,4789.925921401979
JC-SW,0.99,3702,4826.945921401972
JC-SW,1,3702,4863.9659214019775
JC-SW,1.01,3702,4900.985921401983
JC-SW,1.02,3702,4938.005921401976
JC-SW,1.03,3702,4975.025921401982
JC-SW,1.04,3702,5012.045921401975
JC-SW,1.05,3702,5049.06592140198
JC-SW,1.06,3702,5086.085921401973
JC-SW,1.07,3702,5123.105921401979
JC-SW,1.08,3702,5160.125921401971
JC-SW,1.09,3702,5197.145921401977
JC-SW,1.1,3702,5234.165921401983
JC-SW,1.11,3702,5271.185921401975
JC-SW,1.12,3702,5308.205921401981
JC-SW,1.1300000000000001,3702,5345.225921401974
JC-SW,1.1400000000000001,3702,5382.24592140198
JC-SW,1.1500000000000001,3702,5419.265921401972
JC-SW,1.16,3702,5456.285921401978
JC-SW,1.17,3702,5493.305921401984
JC-SW,1.18,3702,5530.325921401976
JC-SW,1.19,3702,5567.345921401982
JC-SW,1.2,3702,5604.365921401975
JC-SW,1.21,3702,5641.38592140198
JC-SW,1.22,3702,5678.4059214019735
JC-SW,1.23,3702,5715.425921401979
JC-SW,1.24,3702,5752.445921401972
